cell_type,expr_sil,splice_sil,delta
ANTIGEN PRESENTING CELL,-0.27131724,-0.13805358,0.13326366
B CELL,-0.04264034,-0.07483228,-0.032191943
BASAL CELL,-0.13670316,-0.0770093,0.059693865
BLADDER CELL,0.05449099,-0.045169186,-0.09966017
CARDIAC MUSCLE CELL,-0.34430528,-0.09139629,0.252909
DENDRITIC CELL,-0.02610539,-0.11744256,-0.091337174
ENDOCARDIAL CELL,-0.0477255,-0.076818556,-0.029093057
ENDOTHELIAL CELL,-0.28071588,-0.09556826,0.18514761
EPITHELIAL CELL,-0.36485556,-0.06451106,0.3003445
Excitatory Neurons,-0.20511355,-0.24573974,-0.040626198
FENESTRATED CELL,-0.15309833,-0.12454006,0.02855827
FIBROBLAST,-0.1972482,-0.077059455,0.12018875
GENERAL IMMUNE CELL,-0.3267833,0.0051885885,0.33197188
GLIAL CELL,-0.24742539,-0.22341916,0.024006233
GRANULOCYTE,-0.03728313,-0.068151794,-0.030868664
HEPATOCYTE,0.1382588,-0.08651977,-0.22477856
INTESTINAL CELL,-0.33709607,-0.0705386,0.26655746
Inhibitory Neurons,-0.027355907,-0.24788839,-0.22053248
KERATINOCYTE,-0.050216027,-0.07150401,-0.021287985
KIDNEY CELL,-0.18557069,-0.108748496,0.07682219
LUNG CELL,-0.25766775,-0.085260786,0.17240697
LYMPHOID IMMUNE CELL,-0.12801108,-0.09265003,0.035361044
MACROPHAGE,-0.36771622,-0.077488646,0.2902276
MICROGLIA,0.24653211,-0.06540786,-0.31193995
MONOCYTE,-0.15074208,-0.06917439,0.0815677
MYELOID IMMUNE CELL,-0.35586855,-0.07423501,0.28163356
NEUROEPITHELIAL CELL,0.3511154,-0.15970097,-0.5108164
NEURON,-0.46980223,-0.11301253,0.3567897
NEUTROPHIL,-0.01020547,-0.1021927,-0.09198723
Other non-neuronal (Car3+),0.29890528,-0.1341953,-0.43310058
PANCREATIC CELL,-0.10811369,-0.07134791,0.036765784
PERICYTE,-0.28172362,-0.20853986,0.07318376
SECRETORY CELL,0.085532874,-0.09987825,-0.18541113
SKELETAL MUSCLE CELL,0.07352817,-0.08195641,-0.15548459
SMOOTH MUSCLE CELL,0.04021392,-0.09484638,-0.13506031
STEM CELL,-0.33525282,-0.07018209,0.26507074
STROMAL CELL,-0.11019982,-0.0836914,0.026508413
T CELL,-0.13048047,-0.076618895,0.053861573
THYMOCYTE,-0.13659948,-0.07246259,0.06413689
VALVE CELL,0.0035031715,-0.04232354,-0.04582671
VLMCs,0.43658915,0.06606302,-0.37052613
